Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
93 NORMANDY AVE,12,267A-263,267A,263,7563,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1549328917 42.3939166538)
86 FOSTER ST,10,221-98,221,98,2310,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13056339410001 42.3760515297)
66 LINCOLN ST,3,79-37,79,37,1550,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.094973735 42.3711614445)
444R CARDINAL MEDEIROS AVE,3,37-121,37,121,11733,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.0881508968 42.3712861061)
4 EIGHTH ST,1,34-39,34,39,1350,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0860193284 42.3715242924)
12 HOLLIS ST,11,196-39,196,39,4615,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1280938924 42.3938731996)
123 REED ST,11,191-35,191,35,1600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1320217457 42.3968590539)
29 RESERVOIR ST,10,237-15,237,15,19510,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.136647396 42.3795158562)
63 RESERVOIR ST,10,237-69,237,69,3960,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1360905426 42.3812553806)
102 ELLERY ST,6,139-10,139,10,2700,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1084576494 42.374028728)
68 MT AUBURN ST,7,161-3,161,3,13649,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1182340581 42.3715097534)
217-219 GREEN ST,5,93-89,93,89,1325,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1028407895 42.3641252845)
41 GRANVILLE RD,10,233-131,233,131,3336,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1364855087 42.3827323924)
29 LOCKE ST,11,183-79,183,79,2720,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1275672846 42.3966638309)
39 COTTAGE ST,5,105-94,105,94,2465,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1072757921 42.3636102117)
439 HURON AVE,10,234-117,234,117,3900,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1411407265 42.3808983476)
6 CORNELIUS WAY,3,39-113,39,113,2443,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0897512863 42.3692158983)
292 CAMBRIDGE ST,1,24-133,24,133,10000,341,Commercial,BANK,0,,,,,,POINT (-71.0808949312 42.3709299956)
22 SUFFOLK ST,4,89-8,89,8,4506,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0997165207 42.3661155362)
8 KENWOOD ST,5,101-48,101,48,5000,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1114234275 42.359835966)
18.5 TREMONT ST,4,87-73,87,73,2704,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0988187955 42.3698680252)
15 SALEM ST,5,93-9,93,9,2647,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1046462924 42.3624591592)
16 MONTGOMERY ST,11,193-94,193,94,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1334238865 42.3939431827)
108 AMORY ST,6,110-104,110,104,3514,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1001010536 42.3717623566)
104 ABERDEEN AVE,10,252A-123,252A,123,5000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1473846637 42.3779465155)
586-590 PUTNAM AVE,5,96-51,96,51,3200,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1069796788 42.3569852329)
15 NORMAN ST,13,255-76,255,76,2729,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.152236547 42.3755094547)
153 UPLAND RD,9,201.5-62,201.5,62,3000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1253542601 42.3870649959)
641 CONCORD AVE,12,267E-242,267E,242,29250,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.14818372240002 42.3901422184)
187 CHARLES ST,1,26-93,26,93,3000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0835395135 42.3681952425)
8 BERKELEY ST,10,217-3,217,3,11498,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1251560196 42.3778012113)
143 RICHDALE AVE,9,202-105,202,105,3036,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1263728397 42.3893078821)
229 BROADWAY,4,76-26,76,26,2400,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0947431201 42.3670372994)
130 BRATTLE ST,10,220-54,220,54,10130,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1292226484 42.3773580121)
8 INMAN ST,6,107-2,107,2,15812,960,Charitable/Religious,Religious,0,,,,,Religious NonTax,POINT (-71.10493384690001 42.3667694757)
27 CORPORAL BURNS RD,9,261-118,261,118,3800,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1376808993 42.3865085192)
95-97 LARCH RD,10,247-223,247,223,6241,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1424758899 42.3786641927)
79 SPRING ST,1,24-131,24,131,2451,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.081559073 42.3693340766)
8 ROCKINGHAM ST,5,98-46,98,46,2432,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.11053206020001 42.356103917)
171 ALLSTON ST,5,97-64,97,64,2513,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.108393833 42.3589511439)
279 RIVER ST,7,126-141,126,141,2867,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1129371006 42.3626844191)
8 MELLEN ST,8,157-50,157,50,2930,424,Utility,PUB UTIL REG,0,,,,,,POINT (-71.1189907759 42.3804780581)
16 JAY ST,7,125-118,125,118,1472,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1096635469 42.3645185865)
74 GRISWOLD ST,12,267B-129,267B,129,4000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1557499857 42.3928447137)
32 BOWDOIN ST,9,175-80,175,80,5295,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1211090391 42.3835797044)
24 ROBERTS RD,6,140-72,140,72,3185,955,Health,Hospitals & Medical Offic,0,,,,,Other NonTax,POINT (-71.1082067079 42.3763019711)
18 RUSSELL ST,11,181-42,181,42,3360,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1226695125 42.3923789191)
380 PROSPECT ST,3,82-86,82,86,2503,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0972355412 42.3742901851)
128 FAYERWEATHER ST,10,263-72,263,72,3382,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1363715674 42.3835820483)
113 WALDEN ST,9,202-96,202,96,5650,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1265297126 42.3879837917)
38 KINNAIRD ST,7,124-93,124,93,1876,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1088053524 42.365877472)
5 DINSMORE CT,10,220-33,220,33,1613,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1287697896 42.3751255946)
33 BROADWAY,1,44-71,44,71,73200,930,Government,Government Operations,0,,,,,Federal NonTax,POINT (-71.084983155 42.3633534085)
61 OTIS ST,1,24-112,24,112,2500,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0803844399 42.3705863182)
24 LEE ST,6,117-36,117,36,2221,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1066254612 42.3686077579)
2464 MASSACHUSETTS AVE,11,189-57,189,57,25699,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1322076534 42.3981533524)
43 MARKET ST,4,77-14,77,14,2150,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0962871183 42.3686238687)
152 CHARLES ST,1,27-22,27,22,3500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0826481496 42.3676639557)
45 FAYETTE ST,6,113-46,113,46,3500,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1031393192 42.3729889461)
325 FRANKLIN ST,7,119-55,119,55,7166,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1070349002 42.3658861503)
463 HURON AVE,10,248-87,248,87,5193,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1421983502 42.3807311102)
35 BREWSTER ST,10,223-64,223,64,4107,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1323595987 42.3787280472)
45 DANA ST,6,135-50,135,50,7867,112,Residential,>8-UNIT-APT,10,,,,,,POINT (-71.1090974092 42.3720604296)
39A BELLIS CIR,9,271-53,271,53,2465,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1343400046 42.3904708878)
12 EMILY ST,5,95-71,95,71,40432,404,Office/R&D,RES-&-DEV-FC,0,,,,,,POINT (-71.10476523060001 42.3596108827)
52 FAYETTE ST,6,114A-103,114A,103,4084,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1025756542 42.3729550341)
247-249 MT AUBURN ST,10,221-46,221,46,5400,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1312777207 42.3749845446)
55 SACRAMENTO ST,8,150-98,150,98,7204,112,Residential,>8-UNIT-APT,12,,,,true,,POINT (-71.114334024 42.382692062800004)
23 FOCH ST,11,186-4,186,4,4488,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1347450638 42.4015921494)
102-106 HOLWORTHY ST,13,254-26,254,26,8260,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1509767714 42.3773142877)
773 CONCORD AVE,12,267D-289,267D,289,18378,112,Residential,>8-UNIT-APT,25,,,,true,,POINT (-71.1545970905 42.3909278287)
181 GROVE ST,13,266-12,266,12,10080,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1582079344 42.3835784781)
276 WALDEN ST,9,228-32,228,32,3944,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1316629952 42.3857100773)
10 CAMERON AVE,11,183-7,183,7,1842,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.1294935975 42.3978535949)
79 GORE ST,1,21-20,21,20,1005,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0811829132 42.3720695733)
42 HAWTHORN ST,10,167-75,167,75,2798,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1259237553 42.3747338709)
59 PLEASANT ST,5,125-75,125,75,3650,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.109310255 42.3633249713)
378 WINDSOR ST,3,78-98,78,98,2195,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.09396122 42.3703354635)
201 GROVE ST,13,266-10,266,10,20160,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1584060186 42.3838805785)
52 MIDDLESEX ST,11,195-43,195,43,4500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.13044194120002 42.391923901)
2 ABERDEEN CT,10,251-242,251,242,3630,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.14571081760002 42.3757527675)
56 WALDEN ST,9,201-1,201,1,4825,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1245680097 42.3891480937)
293 BROOKLINE ST,5,97-106,97,106,3374,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1087614624 42.3569627074)
79 NORFOLK ST,4,90-106,90,106,3732,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1008542307 42.3662387553)
81 INMAN ST,6,114-89,114,89,5050,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1025007823 42.3711166978)
40 COOLIDGE HILL RD,10,242A-47,242A,47,5237,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1386689478 42.3739388503)
58 GARFIELD ST,8,155-8,155,8,6600,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1172091441 42.3834705787)
34 BROOKFORD ST,11,189-47,189,47,4520,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.133981679 42.3989881951)
156 PEMBERTON ST,11,195-37,195,37,4036,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1298086766 42.3908945271)
46 COTTAGE ST,5,104-134,104,134,1984,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1079179721 42.3636059808)
17 BROWN ST,10,220-60,220,60,4400,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1290307427 42.3762170309)
5 HARRINGTON RD,11,191-62,191,62,2450,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1313502345 42.397001211)
68 LEXINGTON AVE,10,247-108,247,108,5306,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.140599454 42.3778518551)
24 COPLEY ST,9,262-109,262,109,4286,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.134566832 42.3846455628)
66 FRESH POND PKWY,10,250-139,250,139,8004,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.14350556 42.3777033057)
7 GEORGE ST,11,190-87,190,87,2600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1335250075 42.3966685845)
47 SEVENTH ST,1,34-28,34,28,1650,316,Commercial,WAREHOUSE,0,,,,,,POINT (-71.0858019135 42.3714944529)
116 COOLIDGE HILL,10,242A-73,242A,73,10271,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1388231316 42.3730080842)
178 COOLIDGE HILL,10,242-38,242,38,448329,940,Education,Private Pre & Elem School,0,,,,,Educ NonTax,POINT (-71.1378976844 42.3712539278)
385 BROADWAY,6,112-112,112,112,4954,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1058980036 42.371506723)
26 CLAY ST,11,193-45,193,45,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1344697691 42.3942689388)
45-2 COGSWELL AVE,11,199-122,199,122,1977,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.126193876 42.390309726)
181 WALDEN ST,9,204-147,204,147,134838,112,Residential,>8-UNIT-APT,70,,,,,,POINT (-71.128868809 42.3879485068)
2343 MASSACHUSETTS AVE,11,183-104,183,104,5973,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.1284804585 42.3962394154)
350 THIRD ST,1,14-1038,14,1038,48106,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,465,groundfloor,,,true,,POINT (-71.0828470204 42.3635254576)
35-37 REGENT ST,11,200-70,200,70,2519,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.122460933 42.3898487078)
10-12 SHEPARD ST,9,173-81,173,81,6103,111,Residential,4-8-UNIT-APT,8,,,,true,,POINT (-71.1210672855 42.3814172415)
18-20 ANDREW ST,5,127-60,127,60,2680,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1117897932 42.3615043603)
48-50 WEBSTER AVE,3,78-8,78,8,4104,111,Residential,4-8-UNIT-APT,6,,,,true,,POINT (-71.0929624235 42.3678984241)
14 SHEA RD,11,183-126,183,126,1627,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1282464289 42.3963851292)
76 GROZIER RD,10,247-162,247,162,6401,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1424065771 42.3797653726)
1 EUSTIS ST,8,151-88,151,88,1708,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1156818803 42.3837233449)
11 CLAY ST,11,193-101,193,101,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1338669231 42.39393543720001)
34 HOWARD ST,7,123-43,123,43,3300,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1105756561 42.3651932173)
123 OTIS ST,1,23-68,23,68,4500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0837490557 42.3710179273)
15 MEACHAM RD,11,183-110,183,110,1783,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1267235102 42.3958448674)
22 MATIGNON RD,11,185-34,185,34,3828,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1325340382 42.401429843)
209 ELM ST,3,85-90,85,90,2296,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0963780641 42.3718345084)
141 OTIS ST,1,23-74,23,74,1000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0846548396 42.37106765950001)
93 RICHDALE AVE,9,201-4,201,4,5200,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1243827677 42.3890163692)
84 KINNAIRD ST,7,120-85,120,85,1306,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1110022467 42.3672507583)
6 DICKINSON ST,4,42-93,42,93,1589,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0940943409 42.3660676308)
9 ST PAUL ST,6,107-109,107,109,2063,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1032766459 42.3678404602)
15 VINCENT ST,9,201.5-36,201.5,36,5206,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1255242394 42.3875381179)
67 BAY STATE RD,9,273-38,273,38,6000,111,Residential,4-8-UNIT-APT,5,,,,true,,POINT (-71.1388026877 42.3876726862)
65-67 PORTER RD,11,178-111,178,111,2700,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1211563254 42.3894637799)
92 PEARL ST,5,93-1,93,1,2000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1047764538 42.36253755300001)
36 SACRAMENTO ST,8,156-97,156,97,25614,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1166752755 42.3823340847)
1 UNION PL,3,79-130,79,130,1040,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.0952037196 42.3702674379)
19 LARCH RD,10,247-155,247,155,7857,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1418919842 42.3766003389)
CAMBRIDGE ST,1,35-102,35,102,27423,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.0875696449 42.3728975069)
109 JACKSON ST,11,190-74,190,74,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1349981977 42.3964696587)
134 TREMONT ST,3,82-36,82,36,3631,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0964777698 42.373801995)
15 FAIRMONT AVE,5,127-29,127,29,5102,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1124006229 42.3621557257)
384 WASHINGTON ST,4,91-4,91,4,3055,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1000478954 42.3656264679)
39 PORTER ST,3,36-63,36,63,3025,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0891114716 42.3737281127)
18 COTTAGE PARK AVE,11,189-63,189,63,4494,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1329976827 42.3989470122)
60 GORHAM ST,8,150-84,150,84,2928,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1148801692 42.3820811154)
45-47 PRINCE ST,5,101-105,101,105,4500,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1106185584 42.3609893447)
COGSWELL AVE,11,199-40,199,40,522,975,Transportation,MBTA/Railroad,0,,,,,State NonTax,POINT (-71.1260628856 42.3896581821)
215 CHESTNUT ST,5,101-172,101,172,5569,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1122495686 42.3589596538)
70 SACRAMENTO ST,8,150-59,150,59,3553,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1133189608 42.3825389964)
1045 MASSACHUSETTS AVE,6,134-33,134,33,10501,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1126179803 42.3701888176)
68 HOLWORTHY ST,13,254-90,254,90,6191,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1505599759 42.3763858428)
44 PARK AVE,13,253-137,253,137,3967,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1487796049 42.3776037772)
382-392 HARVARD ST,6,134-4,134,4,10507,112,Residential,>8-UNIT-APT,10,,,,,,POINT (-71.1133985905 42.3715865475)
79 ALLSTON ST,5,96-93,96,93,3495,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1063757727 42.3578483797)
15 TRAYMORE ST,8,151-47,151,47,2525,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1152228326 42.3840065929)
30 NORFOLK ST,4,91-186,91,186,2922,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1013155569 42.3648860346)
11 HARDWICK ST,3,39-165,39,165,5767,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.090137652 42.3699569351)
596 MASSACHUSETTS AVE,5,106-124,106,124,20854,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1033816191 42.3646784391)
50 HOWARD ST,7,123-48,123,48,7200,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.110658655 42.3657470393)
ATHENAEUM ST,1,14-49,14,49,12592,972,Transportation,Road Right of Way,0,,,,,,POINT (-71.0818451882 42.3639556596)
31-33 FRESH POND PKWY,10,247-191,247,191,23502,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1408832675 42.3771249929)
47 MAGEE ST,7,122-156,122,156,3281,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1114918526 42.3661782873)
25 BELMONT ST,13,254-82,254,82,5861,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1511091828 42.3750469513)
655 CAMBRIDGE ST,1,35-59,35,59,1176,140,Education,CHILD-CARE,0,,,,,,POINT (-71.0872343564 42.3721417015)
2571 MASSACHUSETTS AVE,11,186-25,186,25,3915,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1344239268 42.4005301935)
307 WASHINGTON ST,4,75-42,75,42,4250,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0980606973 42.3653668194)
40 ABERDEEN AVE,10,252-154,252,154,5507,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1466442883 42.3762573364)
182 HURON AVE,10,226-63,226,63,2307,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.131489629 42.3818261075)
13 LILAC CT,3,40-211,40,211,2264,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0918172321 42.3673478974)
64 RICE ST,11,196-5,196,5,7500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1296333203 42.393969142)
127 CUSHING ST,13,258-13,258,13,4738,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1519414504 42.3784150293)
17 HOLLIS ST,11,196-136,196,136,5083,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1286303824 42.3940615936)
169 CHARLES ST,1,26-88,26,88,2500,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0829796885 42.3681229272)
114 RINDGE AVE,11,195-117,195,117,2370,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1294803955 42.392940794)
16 WARREN ST,3,36-250,36,250,5444,013,Residential w/ Commercial,MULTIUSE-RES,3,mixed,,,,,POINT (-71.0878418859 42.3726993567)
6 MT AUBURN ST,7,132-122,132,122,4493,121,Boarding House/Assisted Living,BOARDING-HSE,16,,,,,,POINT (-71.1138144516 42.370094631600004)
7 LANDSDOWNE ST,5,69-162,69,162,718,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.09818260710001 42.3616316614)
32 BELLIS CIR,9,271-26,271,26,1950,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1339402671 42.3901302543)
41 RICE ST,11,192-144,192,144,6217,111,Residential,4-8-UNIT-APT,7,,,,,,POINT (-71.12948148350002 42.3947445018)
51 ELLERY ST,6,135-34,135,34,7500,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1105869856 42.3720637805)
62 CLIFTON ST,11,269-98,269,98,5405,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.136646944 42.395470589300004)
32 JEFFERSON ST,3,36-111,36,111,4863,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0892912112 42.3728604671)
4 BUCKINGHAM ST,10,224-40,224,40,4494,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.129265128 42.3787278617)
239 LEXINGTON AVE,10,234-139,234,139,7173,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1415613065 42.3825509315)
16 BUENA VISTA PK,9,201-84,201,84,3765,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1241521193 42.3880804833)
49B DANA ST,6,135-156,135,156,1850,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1091427762 42.3722436491)
731 MASSACHUSETTS AVE,6,107-9,107,9,9926,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1050122378 42.3665106142)
126 THORNDIKE ST,1,25-94,25,94,2500,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0839245408 42.3699237051)
594 HURON AVE,13,253-74,253,74,8351,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1491023899 42.378736994)
100 LANDSDOWNE ST,5,68-74,68,74,35750,112,Residential,>8-UNIT-APT,203,,,,,,POINT (-71.1010020393 42.3598826962)
17 LARCHWOOD DR,10,250-170,250,170,13674,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1435010285 42.3770267157)
212 NORFOLK ST,4,86-106,86,106,3082,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0983505882 42.3692383339)
46.5 ROBERTS RD,6,141-97,141,97,1615,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1078113983 42.3774318502)
23 HAMMOND ST,8,149-109,149,109,5620,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1154699338 42.3809922892)
1 FROST ST,8,153-4,153,4,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1176237859 42.3865822939)
174 LAKEVIEW AVE,10,234-49,234,49,6120,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1405199836 42.3812812887)
51 MT PLEASANT ST,9,201.5-49,201.5,49,2648,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1254196199 42.3879719066)
42 TREMONT ST,4,87-84,87,84,4920,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0982053623 42.3710290046)
172 BRATTLE ST,10,239-60,239,60,14827,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1355479942 42.3768698932)
126 OXFORD ST,8,151-118,151,118,313,106,Transportation,RES-LAND-IMP,0,,,,,,POINT (-71.1159792058 42.3846666154)
81 GREEN ST,5,92-96,92,96,972,995,Public Open Space,Private Open Space,0,,,,,,POINT (-71.10030094490001 42.3626455702)
469 FRANKLIN ST,7,120-30,120,30,1920,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1100235697 42.3674161253)
18 DUDLEY ST,11,192-128,192,128,2644,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1298712863 42.3960882028)
455 WINDSOR ST,3,80-176,80,176,1437,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0937162954 42.3720677196)
19 COOLIDGE HILL RD,10,242A-124,242A,124,4075,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1389387164 42.3743149493)
5-7 FRANCIS AVE,8,145-46,145,46,13782,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1121198273 42.3777816728)
22 CRAIGIE ST,10,218-2,218,2,10798,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1285880038 42.3781389049)
351 NORFOLK ST,3,85-100,85,100,1150,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0965417053 42.3729187682)
